system,estimator,noise_label,cell_id,n_rows,top1_err,oracle_err,oracle_rank,gap_ratio,is_mult2,row0_is_alt_branch
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_2_1em6,20,5.763659797083459,0.8034703230747773,17,7.173456979750885,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_2_1em8,20,0.0013034736139860433,0.0013017642919716274,4,1.0013130810431334,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_3_0,20,5.502142246416461e-07,2.133768152967336e-07,1,2.578603602628935,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_3_1em2,20,8.534583343798875,8.533685215662539,19,1.00010524505107,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_3_1em4,20,0.7269995858396424,0.7269957248257547,13,1.000005310916909,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_3_1em6,20,0.03133891709637443,0.03133754855662963,9,1.0000436709253862,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_3_1em8,20,0.0008265582768944081,0.0008265582768944081,0,1.0,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_4_0,20,7.050820296780677e-12,6.629356414531285e-13,2,10.63575384380535,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_4_1em2,20,1.559113849799194,1.5590164085852394,17,1.0000625017244322,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_4_1em4,20,0.0715641077723606,0.07155406716923733,12,1.0001403219065035,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_4_1em6,20,0.0006272836851564954,0.0006270951717084298,8,1.000300613776936,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_5_0,20,6.682321362916355e-10,6.682321362916355e-10,0,1.0,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_5_1em2,20,4.907946306556669,4.907929866678196,19,1.000003349656356,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_5_1em4,20,4.8964202622607855,4.896420262133921,5,1.0000000000259097,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_5_1em6,20,0.0062315337373816835,0.006231311998289498,6,1.000035584655727,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_5_1em8,20,6.730106574076904e-05,6.729603102694672e-05,2,1.00007481442435,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_6_0,20,1.9179797793444705e-08,1.9179797793444705e-08,0,1.0,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_6_1em2,20,14.070278423741046,5.986950665503297,12,2.350157736360471,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_6_1em4,20,2.1198155212403846,2.1196849224234704,1,1.0000616123724486,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_6_1em6,20,5.1269818779093566,5.126960428003044,17,1.0000041837471956,True,False
biohydrogenation,odepe_v2_polish,1em8,biohydrogenation_6_1em8,20,0.009292773043742087,0.009289112266826851,4,1.000394093300854,True,False
biohydrogenation,odepe_v2_polish,0,biohydrogenation_7_0,20,3.7091388408912273e-07,1.2780594736083187e-07,2,2.902164506022003,True,False
biohydrogenation,odepe_v2_polish,1em2,biohydrogenation_7_1em2,20,3.647379811700443,3.6469223927458994,19,1.0001254260182375,True,False
biohydrogenation,odepe_v2_polish,1em4,biohydrogenation_7_1em4,20,0.6130224308982538,0.6130197214367495,3,1.0000044198602582,True,False
biohydrogenation,odepe_v2_polish,1em6,biohydrogenation_7_1em6,20,0.02206614914386983,0.02206614914386983,0,1.0,True,False
