,index,id,true_states,true_parameters,time_start,time_end,time_count,name,noise,finished,has_result,software,result,time
46,9,vanderpol_1_1em6,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-06,True,True,odepe,"[['a', '0.4391004399899191', '0.4389779908625529', '0.4389983920286387', '0.4389951588775738', '0.4390008255199339'], ['b', '0.6173699938075297', '0.6169968584922106', '0.6169684506397946', '0.6170166786773988', '0.6169972505369661'], ['x1', '0.4499588174310185', '0.4500153887093627', '0.4499986377349854', '0.45000462478614744', '0.4499992158624285'], ['x2', '0.8128169348113911', '0.8130126423225554', '0.8130122713460307', '0.8129966629568985', '0.8130004263662097']]",102.71685552597046
47,9,vanderpol_1_1em6,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-06,True,True,sciml,"[['a', '0.4390000642704012'], ['b', '0.6169998990654874'], ['x1', '0.4499999467633552'], ['x2', '0.8129999756698567']]",110.26828598976135
48,9,vanderpol_1_1em6,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-06,False,False,iqm,,
49,9,vanderpol_1_1em6,"{'x1': 0.45, 'x2': 0.813}","{'a': 0.439, 'b': 0.617}",-1.0,1.0,1001,vanderpol,1e-06,False,False,amigo2,,
50,10,fitzhugh_nagumo_0_1em6,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,pe,"[['g', '0.8658373145928635'], ['a', '0.4120455899579852'], ['b', '0.7223212406770462'], ['VV', '0.5215647193724425'], ['R', '0.5656886815595908']]",110.38150787353516
51,10,fitzhugh_nagumo_0_1em6,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,odepe,"[['g', '-0.01704283728466941', '-0.025760558743656195', '0.03044936107069337', '0.12688299152328986', '0.8706084284441756', '0.8658373145927198'], ['a', '25.590215106775904', '10.307445969480726', '2.5362663756710813', '2.9667812253432118', '0.40771694168732714', '0.4120455899428201'], ['b', '-0.37166718840424245', '-0.18734109644747962', '-0.00457479827034361', '0.07435408030790629', '0.7322982402077235', '0.7223212406771059'], ['VV', '1.0473035235425505', '0.9511199179460731', '-0.14188126082287825', '0.26396418837906005', '0.5228326965165815', '0.5215647193790739'], ['R', '-65.89774647304205', '-49.043826927765195', '106.85236872685189', '17.475848662827037', '0.5550596704810282', '0.5656886815448233']]",145.10960054397583
52,10,fitzhugh_nagumo_0_1em6,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,sciml,"[['g', '0.8709987347624327'], ['a', '0.4069985705429301'], ['b', '0.73299703234689'], ['VV', '0.5230000567003261'], ['R', '0.5540013377464916']]",113.28828883171082
53,10,fitzhugh_nagumo_0_1em6,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,False,False,iqm,,
54,10,fitzhugh_nagumo_0_1em6,"{'VV': 0.523, 'R': 0.554}","{'g': 0.871, 'a': 0.407, 'b': 0.733}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,False,False,amigo2,,
55,11,fitzhugh_nagumo_1_1em6,"{'VV': 0.116, 'R': 0.766}","{'g': 0.84, 'a': 0.157, 'b': 0.17}",-1.0,1.0,1001,fitzhugh_nagumo,1e-06,True,True,pe,"[['g', '0.840627459333548'], ['a', '0.1585355463964193'], ['b', '0.17177656480913747'], ['VV', '0.11613020099995972'], ['R', '0.7649392720952363']]",107.7919716835022
