Unnamed: 0,index,id,true_states,true_parameters,time_start,time_end,time_count,name,non_identifiable,noise,finished,has_result,run,software,result,time
40,10,bicycle_model_2_0,"{'vy': 0.881, 'r': 0.584}","{'Cf': 0.177, 'Cr': 0.881, 'm_veh': 0.475}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.17700001109169952'], ['Cr', '0.8810000215898376'], ['m_veh', '0.47500000554299426'], ['vy', '0.8809999993784299'], ['r', '0.5840000085958227']]",3755.901335000992
41,10,bicycle_model_2_0,"{'vy': 0.881, 'r': 0.584}","{'Cf': 0.177, 'Cr': 0.881, 'm_veh': 0.475}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.17699983355340593'], ['Cr', '0.8809999193490631'], ['m_veh', '0.4749997801222087'], ['vy', '0.8810000525847727'], ['r', '0.5840000751379794']]",3135.720372200012
42,10,bicycle_model_2_0,"{'vy': 0.881, 'r': 0.584}","{'Cf': 0.177, 'Cr': 0.881, 'm_veh': 0.475}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '0.177000000405569'], ['Cr', '0.8810000019982376'], ['m_veh', '0.47500000108034546'], ['vy', '0.8810000002457148'], ['r', '0.5840000008184295']]",1793.8241300582886
43,10,bicycle_model_2_0,"{'vy': 0.881, 'r': 0.584}","{'Cf': 0.177, 'Cr': 0.881, 'm_veh': 0.475}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,amigo2_run,amigo2,"[['Cf', '1.7700e-01'], ['Cr', '8.8100e-01'], ['m_veh', '4.7500e-01'], ['vy', '8.8100e-01'], ['r', '5.8400e-01']]",429.5380764007568
44,11,bicycle_model_3_0,"{'vy': 0.354, 'r': 0.431}","{'Cf': 0.196, 'Cr': 0.337, 'm_veh': 0.195}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.19599998789088613'], ['Cr', '0.3370003298771953'], ['m_veh', '0.1949999792351217'], ['vy', '0.3539999727650197'], ['r', '0.430998073221673']]",4306.026513338089
45,11,bicycle_model_3_0,"{'vy': 0.354, 'r': 0.431}","{'Cf': 0.196, 'Cr': 0.337, 'm_veh': 0.195}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.1960000037389986'], ['Cr', '0.3369999978573387'], ['m_veh', '0.195000001725008'], ['vy', '0.35399999255738124'], ['r', '0.43099999755837975']]",3166.971435546875
46,11,bicycle_model_3_0,"{'vy': 0.354, 'r': 0.431}","{'Cf': 0.196, 'Cr': 0.337, 'm_veh': 0.195}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '0.19600000002430898'], ['Cr', '0.3370000000388531'], ['m_veh', '0.19500000002164777'], ['vy', '0.3540000003033266'], ['r', '0.4310000006762292']]",1786.0717146396637
47,11,bicycle_model_3_0,"{'vy': 0.354, 'r': 0.431}","{'Cf': 0.196, 'Cr': 0.337, 'm_veh': 0.195}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,amigo2_run,amigo2,"[['Cf', '1.9600e-01'], ['Cr', '3.3700e-01'], ['m_veh', '1.9500e-01'], ['vy', '3.5400e-01'], ['r', '4.3100e-01']]",408.4565601348877
48,12,bicycle_model_4_0,"{'vy': 0.312, 'r': 0.519}","{'Cf': 0.151, 'Cr': 0.654, 'm_veh': 0.553}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.15100081294209874'], ['Cr', '0.6540033812247658'], ['m_veh', '0.5530026311043112'], ['vy', '0.3120009327900943'], ['r', '0.5189992531560187']]",3336.312976360321
49,12,bicycle_model_4_0,"{'vy': 0.312, 'r': 0.519}","{'Cf': 0.151, 'Cr': 0.654, 'm_veh': 0.553}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.15099998307768353'], ['Cr', '0.6539999940946412'], ['m_veh', '0.5529999686409004'], ['vy', '0.3120000146170777'], ['r', '0.5190000003359129']]",2561.068091392517
50,12,bicycle_model_4_0,"{'vy': 0.312, 'r': 0.519}","{'Cf': 0.151, 'Cr': 0.654, 'm_veh': 0.553}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '0.15100000010936454'], ['Cr', '0.6540000004679369'], ['m_veh', '0.5530000003914709'], ['vy', '0.31200000011636175'], ['r', '0.5190000003579165']]",171.3613157272339
51,12,bicycle_model_4_0,"{'vy': 0.312, 'r': 0.519}","{'Cf': 0.151, 'Cr': 0.654, 'm_veh': 0.553}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,amigo2_run,amigo2,"[['Cf', '1.5100e-01'], ['Cr', '6.5400e-01'], ['m_veh', '5.5300e-01'], ['vy', '3.1200e-01'], ['r', '5.1900e-01']]",419.5407576560974
52,13,bicycle_model_5_0,"{'vy': 0.355, 'r': 0.634}","{'Cf': 0.175, 'Cr': 0.561, 'm_veh': 0.843}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_polish,odepe,"[['Cf', '0.17499789981060662'], ['Cr', '0.5609952782250753'], ['m_veh', '0.8429989902405388'], ['vy', '0.35499748469778003'], ['r', '0.634010093163466']]",4049.775576591492
53,13,bicycle_model_5_0,"{'vy': 0.355, 'r': 0.634}","{'Cf': 0.175, 'Cr': 0.561, 'm_veh': 0.843}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,odepe_nopolish,odepe,"[['Cf', '0.174999996513769'], ['Cr', '0.5610000041064165'], ['m_veh', '0.8430000115808368'], ['vy', '0.35500000889164324'], ['r', '0.6339999967457914']]",2841.30125784874
54,13,bicycle_model_5_0,"{'vy': 0.355, 'r': 0.634}","{'Cf': 0.175, 'Cr': 0.561, 'm_veh': 0.843}",0.0,20.0,1501,bicycle_model,[],0.0,True,True,sciml_run,sciml,"[['Cf', '0.17500000051927667'], ['Cr', '0.5610000016925386'], ['m_veh', '0.8430000026750337'], ['vy', '0.3549999994196901'], ['r', '0.633999997212927']]",168.76494574546814
